Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Hufflepuff,Rico,Sargent,2001-10-06,Right,41642.0,696.0960714808824,3.0201723778093963,-6.9609607148088255,7.996,-365.1518504531068,393.13818539298967,4.207690767250213,1046.7427360602487,3.6689832316813447,0.3738525472517433,-244.48172,-13.619999999999997
1,Ravenclaw,Tamara,Shackelford,1998-01-08,Left,45352.0,-370.8446553065122,2.9652261693057698,3.7084465530651207,6.349,522.5804860261724,602.8530505526203,6.460017331082373,1048.0538781192083,8.51462223474569,0.5774322733924575,-231.292,-26.259999999999998
2,Gryffindor,Staci,Crandall,1998-09-15,Left,43502.0,320.3039904202326,-6.185696587080503,-3.2030399042023268,4.619,-630.0732069461911,588.0717953227543,-5.565818052162057,936.4373579469948,1.850829330084962,-1.6471500089738849,-252.99343,200.15
3,Hufflepuff,Dee,Gavin,2001-05-10,Right,61831.0,407.2029277445324,4.962441602980879,-0.5378428483788052,3.4110710659898476,-449.1798058002609,427.6999656113748,2.8298160240185033,1043.3977178876494,4.656572653588079,1.164707896993084,-244.0166,-11.149999999999999
4,Hufflepuff,Gregory,Gustafson,1999-02-01,Right,50088.97157622739,288.33774714151883,3.7376559711679676,-2.883377471415188,4.886,-449.7321661455943,385.712782047816,2.8763465676859883,1051.3779355988024,2.750586103354796,0.10210440893148601,-243.99806,-7.120000000000001
5,Slytherin,Katharine,Ebert,1998-09-25,Left,60888.0,-482.13909635221745,-7.327170322866657,4.821390963522175,-6.611000000000001,-525.2725025237612,359.14817180301407,5.197858179249288,1070.712142717006,10.032461125685584,-2.1852199688256664,-253.62839,-126.66
6,Ravenclaw,Elizebeth,Clemens,1998-12-16,Left,46583.0,-488.0414529003728,4.276265977488614,4.88041452900373,4.916,408.92547374155816,633.7330020317315,3.5779424817589587,1046.2171724880452,7.922499688836782,-1.1784556822092844,-231.5856,32.67
7,Hufflepuff,Santo,Simonson,1999-01-04,Left,42013.0,675.144047616016,4.024691099123407,-6.7514404761601625,5.1080000000000005,-590.514803881303,409.4206426135492,4.672595325050304,1056.701013197971,7.132861059425293,0.5631179851568311,-245.93425,13.45
8,Ravenclaw,Rosalyn,Gee,1997-09-01,Left,27434.0,-508.7670008385748,7.146464798490754,5.087670008385748,4.586,512.8501336932145,591.5241863883227,3.12979163174824,1040.7342323213866,5.783287107300602,0.4193343687566451,-229.42604,60.88
9,Hufflepuff,Karen,Skaggs,2001-08-11,Left,33500.0,319.8863717079517,6.55800346202798,-3.1988637170795178,2.652,-449.9265947720796,415.7346884705977,4.754587065505914,1036.4056167017625,5.773881664894601,-0.1840823112278276,-242.76836,46.29
10,Hufflepuff,Mollie,Donohue,1999-07-07,Right,47320.0,838.6880444558478,7.307270573734564,-8.38688044455848,4.148,-461.4814298448504,350.3709178571412,1.7886372327735232,1049.3551372721265,1.582542749553446,-1.3043658663214417,-247.98054,38.54
11,Slytherin,Filiberto,Beebe,2000-01-09,Left,46821.0,-592.840039725317,-5.193860230814356,5.928400397253171,-5.205,-220.16959428356242,392.49400336432143,4.430113403077925,1054.1707135953627,8.897999259725578,0.2026727152756092,-249.41488,-74.31
12,Slytherin,Carmen,Washington,1998-02-18,Right,54547.0,-420.42594371997046,-7.862746374777414,4.204259437199704,-2.059,-240.32514629775287,474.2372032464568,5.936734828825891,1031.3856283427217,10.539315699055567,-2.196523838150531,-248.69091,-80.08000000000001
13,Slytherin,Milford,Bader,2000-02-01,Right,60483.0,-425.9153613645244,-4.563680765324641,4.259153613645244,-6.922000000000001,-487.7828233902365,386.2096443385581,3.179448297627532,1057.9875620279022,8.495121102474247,0.7580812340399731,-253.07643,-63.92000000000001
14,Slytherin,Nathanael,Holland,1997-08-08,Right,46012.0,-424.8551073861589,-2.860623586520868,4.24855107386159,-4.827999999999999,-538.4535201427743,422.4113046262696,2.5993554541920405,1056.327057977749,9.072908001487296,-1.005776010678949,-249.44113,-16.04
15,Hufflepuff,Nilda,Peyton,2001-06-16,Right,58059.0,511.3930841363011,4.554058435209567,-0.5378428483788052,5.2570000000000014,-621.1801426688357,320.32159020857426,7.445043673737088,1069.634668916895,4.390774539593696,-0.8758482364916172,-245.17056,-90.75
16,Ravenclaw,Tasha,Lyons,1997-11-30,Left,40414.0,-287.40463816844124,4.573500186284839,2.8740463816844124,6.2360000000000015,324.4447118312701,587.1697655862647,3.185660862953484,1039.069611395513,5.8181170330398775,0.1436782306047705,-232.80601,36.26
